Film,var_score_nltk,var_score_blob,sentiment_polarity_nltk,sentiment_polarity_blob,Note imdb,Annee,Budget,Box office
007 Spectre (2015),0.46812086221507543,0.02877161227088233,0.545586,0.13066093989136174,6.8,2015.0,245000000.0,880705312.0
Aladdin (2019),0.28568437036604005,0.05551413222053863,0.6241637837837838,0.17500229783901097,6.9,2019.0,183000000.0,1054304000.0
Alice au pays des merveilles (2010),0.29596763016333727,0.02747320082549726,0.7236767567567568,0.13703427004596025,6.4,2010.0,200000000.0,1025468216.0
Aquaman (2018),0.5040254658213869,0.09288309299909424,0.27661783783783783,0.0061665915013246414,6.8,2018.0,160000000.0,1157347433.0
Avatar (2009),0.15581037321386604,0.02290353043042221,0.8445162162162162,0.21307846323097757,7.9,2009.0,237000000.0,2923706026.0
Avatar : La Voie de l'eau (2022),0.2726811780481787,0.020122274070574257,0.692707027027027,0.13422748151857167,7.6,2022.0,350000000.0,2320250281.0
Avengers (2012),0.19745825640011758,0.027750540788794614,0.8210151351351351,0.21861458297644834,8.0,2012.0,220000000.0,1520538536.0
Avengers : L'Ère d'Ultron (2015),0.2642157736985897,0.02108536144940535,0.7678243243243243,0.15467308788827452,7.3,2015.0,250000000.0,1405018048.0
Avengers: Endgame (2019),0.3633904729864865,0.07727562559790642,0.5607583783783784,0.2038755884051042,8.4,2019.0,356000000.0,2799439100.0
Avengers: Infinity War (2018),0.38726470433725035,0.06610987044270651,0.4906967567567567,0.16088273657929236,8.4,2018.0,321000000.0,2052415039.0
Barbie (2023),0.09968196367097527,0.02173778076254792,0.8802259459459459,0.19121642586766463,7.0,2023.0,100000000.0,1441788910.0
Batman v Superman: L'Aube de la Justice (2016),0.30350967552864316,0.04187756783559771,0.630043,0.2066542486938724,6.5,2016.0,250000000.0,874362803.0
Black Panther (2018),0.3885089386292599,0.0429091215849424,0.5456589189189189,0.08334349186173672,7.3,2018.0,200000000.0,1349926083.0
Black Panther: Wakanda Forever (2022),0.3254964212703521,0.026587649577489308,0.697144,0.1341910238064221,6.7,2022.0,250000000.0,859208836.0
Bohemian Rhapsody (2018),0.11526733641774382,0.04546115342144715,0.7980529729729731,0.25090916291853377,7.9,2018.0,52000000.0,910809311.0
Captain America: Civil War (2016),0.29475496595358386,0.029955498424915038,0.751125945945946,0.2216318657299936,7.8,2016.0,250000000.0,1155046416.0
Captain Marvel (2019),0.08674671129589491,0.0479235130396723,0.8222417142857144,0.2673151348093309,6.8,2019.0,160000000.0,1131416446.0
Coco (2017),0.1401706475374372,0.03919396297984213,0.8145255,0.3287023320441794,8.4,2017.0,175000000.0,814337054.0
Comme des bêtes (2016),0.26890794608944724,0.03289311786933597,0.728129,0.16720396677157104,6.5,2016.0,75000000.0,894328469.0
Doctor Strange in the Multiverse of Madness (2022),0.49955748120916604,0.053164877836577466,0.3206497297297297,0.0415486022220681,6.9,2022.0,200000000.0,955775804.0
Fast & Furious 7 (2015),0.584348391153349,0.020025902455271492,0.3881935135135135,0.15734232812487822,7.1,2015.0,190000000.0,1515341399.0
Fast & Furious 8 (2017),0.5369962895640422,0.02849871324729524,0.45403891891891895,0.13460847596563943,6.6,2017.0,250000000.0,1236005118.0
Harry Potter et l'Ordre du Phénix (2007),0.35269905875029395,0.020441528137010362,0.6535232432432432,0.14307673488401837,7.5,2007.0,150000000.0,939288806.0
Harry Potter et la Chambre des secrets (2002),0.259297402491187,0.025706208565169465,0.7203108108108107,0.17982263861698622,7.4,2002.0,100000000.0,926201000.0
Harry Potter et la Coupe de feu (2005),0.410907247642211,0.028326606303638424,0.622236,0.15968885478568579,7.7,2005.0,150000000.0,897048648.0
Harry Potter et le Prince de sang-mêlé (2009),0.2929347702074029,0.027032721658177605,0.7171686486486486,0.11407807464286666,7.6,2009.0,250000000.0,934770304.0
Harry Potter et les Reliques de la Mort : partie 1 (2010),0.41267628462573436,0.022559568097376314,0.5708821621621621,0.10152655432579548,7.7,2010.0,125000000.0,972584232.0
Harry Potter et les Reliques de la Mort : partie 2 (2011),0.22462278392303187,0.044216799712508525,0.736248108108108,0.2384511847345939,8.1,2011.0,125000000.0,1356841356.0
Harry Potter à l'école des sorciers (2001),0.16412054268213866,0.043754031415881994,0.8093216216216217,0.24145123138668226,7.6,2001.0,125000000.0,1024264477.0
Hunger Games: L'Embrasement (2013),0.3842311942870922,0.02790538698324812,0.6270733668341708,0.15164838399532457,7.5,2013.0,130000000.0,865011746.0
Inception (2010),0.3038864313464824,0.02859441230981775,0.7020355,0.12257219795141423,8.8,2010.0,160000000.0,839030630.0
Independence Day : Le Jour de la riposte (1996),0.49043679120340444,0.0445040544961718,0.5392080808080808,0.1297793364870183,7.0,1996.0,75000000.0,817400891.0
Iron Man 3 (2013),0.36723226920564067,0.03636730735898569,0.6678881081081081,0.1464942474355057,7.1,2013.0,200000000.0,1215577205.0
Joker (2019),0.44440190733960033,0.06714851155747487,0.4810897297297297,0.17982282159727675,8.4,2019.0,55000000.0,1078958282.0
Jumanji : Bienvenue dans la jungle (2017),0.12919224344302135,0.032474090319231715,0.8489977142857144,0.2093275685643617,6.9,2017.0,90000000.0,995339117.0
Jurassic Park (1993),0.0924389685329025,0.029047417032220198,0.8789767567567568,0.3124414395074227,8.2,1993.0,63000000.0,1113138548.0
Jurassic World (2015),0.3834390749241379,0.03240840593944359,0.674648,0.13421605731936329,6.9,2015.0,150000000.0,1671537444.0
Jurassic World: Fallen Kingdom (2018),0.39457232271269105,0.05076564227502693,0.5765221621621621,0.16713730088810877,6.1,2018.0,170000000.0,1310466296.0
